,lines
10, how did you get here i am drunk and confused i tried to be patient with you yeah high up you are falling back down trapped in a concept falsely accused misused and misled bitch i am hoping you fucking rest in peace now the fact that i am alone is fucking comforting and i cannot seem to shake this fucking feeling in my… uh cold shoulder heartbroken misspoken i am cut open her fingers in all my stab wounds and if she could she would probably dance on my grave inside my head i see your face i fucking hate that i love you still yeah carry on like flights i just carry on with this pain inside of my chest got no choice but to carry on uh carry on like flights i just carry on with this pain inside of my chest got no choice but to carry on uh carry on like flights i just carry on with this pain inside of my chest got no choice but to carry on uh yeah how did you get here i am drunk and confused i tried to be patient with you yeah high up you are falling back down
11, i should have let you know that you are my only one i know you are feeling numb i will fuck you until you cum said i do not understand how you do not got a man you want me in your bed cause i have been in your head baby you have been up all night so you do not wanna wait on me i am bouta catch my flight so you do not gotta wait on me no more you do not wanna you do not wanna you do not wanna you do not wanna you do not wanna you do not wanna you do not wanna i have been up a very long time wonder why they hate on me i do not wanna love myself i am praying that they all love me cause you do not wanna you do not wanna you do not wanna you do not wanna you do not wanna you do not wanna you do not wanna i should have let you know that you are my only one i know you are feeling numb i will fuck you until you cum said i do not understand how you do not got a man you want me in your bed cause i have been in your head no no no no no no no no no no no no no no no no no no
12, up there yeah who do i have heaven and hell my friend my friend i will not shed a tear let them see me in pain again hello hello from the dark side in does anybody here wanna be my friend my friend want it all to end tell me when the fuck is it all gong end end voices in my head telling me i am gonna end up dead dead so save me save me before i fall i fall so save me i do not wanna go alone alone so save me save me before i fall i fall so save me save me i do not wanna go alone
13, na na na na na na na na na na na na na na na na na na na na na depression and obsession do not mix well na na na na na na na na na na na i am poisoned and my body do not feel well na na na na na na na na na na na i ate her inside and out i feel my stomach turning make out hill where we met we let our lips do all the talking and now i am hooked and… na na na na na na na na na na na depression and obsession do not mix well well hollywood motels hell i think i am just obsessed with you depression and obsession do not mix well na na na na na na na na na na na hollywood motels hell i think i am just obsessed with you na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na
14, since you never gave a damn in the first place cigarettes haha maybe it is time you had the tables turned cause in the interest of all involved i got the problem solved off the pink off the drink and the verdict is guilty man nearly kill ayy ayy ayy ohh huh ayy ayy ayy ayy ayy ayy ayy ayy ayy i feel like nick cannon nick huh cause i am wilding out cause i am wiling huh i do not got on vans i do not got em but bitch i am off the wall i do not i do not i do not i do not huh feel like nick cannon feel like nick huh cause i am wilding out cause i am huh huh i do not got on vans but bitch i am off the wall i said like insect i be bugging motherfucker fuck on your mommy my flow be sick like that bitch gotta vomit to vomit to vomit i am hot like a comet insect i be bugging motherfucker fuck on your mommy ayy my flow be sick like that bitch gotta vomit to vomit to vomit i am hot like a comet ayy when i didididididick that bitch and she see jesus on some rapture shit throw my balls at her pokémon ash ketchum shit cause i am fly like a newborn baby wombat wing me and this mic is your mortal kombat team i want some head i am thinking how zombies think beaming a pistol it look like hadouken like mayday mayday mayday mayday tell these pussy rappers that it is time to vacay rob yo lady told her put her hands up high in the air like she about to hit the nae nae they say i am crcrcrcrcray cray cannot control the nigga like we shooting from the ak but i kill these rappers i am a walking breathing payday hot but i swag still nigga got the ray rays get away get away get away get away better do you or do way way fade away you sipping haterade i am sipping gatorade with the lean in it and i call it the fade away ayy i am so toxic frog hop up on my dick i think i am a pilot cause she in my cockpit plumber uh pipe it get face like i skyped it did her a$ap like rocky rocking in my motherfucking rocking rocking in my motherfucking i feel like nick cannon nick huh cause i am wilding out cause i am wiling huh i do not got on vans i do not got em but bitch i am off the wall i do not i do not i do not i do not huh feel like nick cannon feel like nick huh cause i am wilding out cause i am huh huh i do not got on vans but bitch i am off the wall i said like insect i be bugging motherfucker fuck on your mommy my flow be sick like that bitch gotta vomit to vomit to vomit i am hot like a comet insect i be bugging motherfucker fuck on your mommy my flow be sick like that bitch gotta vomit to vomit to vomit ayy i am hot like a comet ayy when i fififififififist that bitch huh i ama make that booty jiggle like some kick back bitch huh she gong rub my dragon balls huh let her make one wish what is that she just wanna take the young dagger dick ayyayy ayyayy huh ayyayy ayyayy huh she off the molly she wanna take seven dick ayy body to body it is mc dagger bitch ayy think that i am illuminati because i got money bitch like ray j ray j ray j ray j huh bitch i hit it first on my weenie hit the naenae huh coming in hot like a missile pussy hey bae huh falcon punch that nigga make em up up and away ayy ayy watch this uppercut super smash melee ayyayy i just made her spin on my dick like a beyblade ooh i am green like a spinach i do not know you then it is payayy ooh hummanah hummana back fist out my way ayy ayy no chris brown oh fuck her make her look at me now wet when i am in the pussy say ow you got no etiquette just beginning like genesis can you give me a rapper that i am not better than mmph ayy revenge jeans i think i might od on sauce i do not rock supreme suck my dick squidwards clarinet brought to life like i am evanescence wanna wake wwwake wwwwake okay like big black black dick in your mama mouth pull it back push her whole wig back wig tic tac your breath really pu yo you really need a tictac stank big pump cobain cobain leave a pussy nigga with no brain okay blaow weenie hut jr looking boy tell him ole i ama pull that pistol make em mr noodle ayy i feel like nick cannon nick huh cause i am wilding out cause i am wiling huh i do not got on vans i do not got em but bitch i am off the wall i do not i do not i do not i do not huh feel like nick cannon feel like nick huh cause i am wilding out cause i am huh huh i do not got on vans but bitch i am off the wall i said like insect i be bugging motherfucker fuck on your mommy my flow be sick like that bitch gotta vomit to vomit to vomit i am hot like a comet insect i be bugging motherfucker fuck on your mommy my flow be sick like that bitch gotta vomit to vomit to vomit i am hot like a comet ayy
15, i shot an angel with my fathers rifle i should have set it free but i our father hallowed be thy name i shot an angel with my fathers rifle thy kingdom come i should have set it free but i hush little angel do not say a word bottle full of pills passed out on the curb sun brings heat and it just will not snow noose like a necklace on my neck will not go i was too slow cause i will not understand blade for your cries count a penny for my sins water flies off and the lake do not stream wrist down the river not across wanna bleed grow your wings fly away fly away fly away you do not wanna stay wanna stay wanna stay grow your wings fly away fly away fly away you do not wanna stay wanna stay wanna stay wake up to your face i am straightforward fuck a pace what i wanted just so happened to be you could not picture being a moment in your shoes when i think back to the kidney failures broken promise i failed i will not deny it i hailed the ground you walk on yeah heart stops you walk away you are good today you are gone tomorrow i carry my heart on my face i am so depressed what good is sex i pray that you would love me less and now it is here hand on my chest grow your wings fly away fly away fly away you do not wanna stay wanna stay wanna stay grow your wings fly away fly away fly away you do not wanna stay wanna stay wanna stay
16, luke white on the beat you ever seen a nigga hung with a gold chain i would rather sing about the same things that we claim such is bashful but niggas like the task force mobbing on the streets and robbing stores in ski masks bruh niggas ask for peace in a riot and bring violence cause it is a game of cat and mouse and you gong bleed silent what is the justice in saying fuck it and grab the pump then kill a woman with many children makes you a chump look at all the stores you wrecking nigga i reckon think about the people who own it for about a second i know you got your problems but brother they got theirs this is not a game quit violence and grow a pair but yo you would rather hear me say fuck the black prejudice lets murder different races grow hatred and form irrelevant views and etcetera knives thrown damage em lives blown oblivion hole cold oblivious i will not dare say that you should stop the fucking ignorance murder ops killing shit i would enjoy the thrill of it bathe in blood of officers different corpses offing em auction em do not you bark at em murder em never heard of em i could preach the peace but say fuck it and preach the murder cause this ai not fucking life that we living go ahead and grab the extension grab another one uncle cousin brother son glory to all the chosen ones that will rid you of the innocence but in a sense innocent will soon behold the ignorance blasphemous killing our own murdering black— we see i see death before the children white guys and white girls hanging from the buildings we hate niggers we hate jews we hate faggots and we hate spics hooray we do not have to have a reason to hate them just because they breathe we hate their filthy bums you people need to get off your ass and wake up this is america the niggers are taking it over and the jews make a stand join the klan white power white power white power and i hate jews i hate them because they exist i hate them because they breathe i hate them because they are scum the goddamn niggers are the scum of the earth white power
17, mamita vente mamita vente mamita vente mamita mamita mamita vente olvida la gente sé que tu cuerpo me pide calor y sé lo que siente la noche te prende no te preocupes me gustan mayor girl you know you got me feeling you the way you move baby bring you closer let me show you what to do move it side to side i know you want a drink or two let me have your body let me show what i can do mami eres tú quien me provoca a a a cuando chupa ella sí se pone loca a a a hazlo lento pero quítate la ropa a a a enséñame rodillas y abre boca a a a ah ah ah mami what you doing all alone in the club baby catch a vibe and pour up another cup girl i wanna get you all alone out the club get up in my ride i wanna show you love sway you like a lullabyyyyy dance with me through the niiiiight back to mi casa baby sliiiiide let me make you feel alriiiiight sway you like a lullabyyyyy dance with me through the niiiiight back to mi casa baby sliiiiide let me make you feel alriiiiight eh got me caught up in the vibe now mama lets go i ama make you shine in the night time baby rolling with a star you could be my angel just back that booty up at the right time i can feel you when you dance you grabbing all on my pants i am kissing you in advance baby live it up she putting me in a trance i am throwing out all my bands she yelling that this a jam dj turn it up she want it she want it we going hard until 6 in the morning she need it she need it i bet the neighbors know my name when she moan it mami what you doing all alone in the club baby catch a vibe and pour up another cup girl i wanna get you all alone out the club get up in my ride i wanna show you love sway you like a lullabyyyyy dance with me through the niiiiight back to mi casa baby sliiiiide let me make you feel alriiiiight girl i will have you feeling riiiiight maybe only for a niiiiight come with me and feel the viiiiibe know i wanna get insiiiiide hold it now the way you spin around got me so aroused i cannot keep it down hold it now the way you spin around got me so aroused i cannot keep it down byyyyye dance with me through the niiiiight back to mi casa baby sliiiiide let me make you feel alriiiiight
18, yeah oh my god ronny it is a vibe yeah feeling right yeah keep it quiet thought a nigga told you you so much ice yeah fantasize yeah the city lights got a nigga so yeah day and night through the day and night through the day and night got a nigga so yeah day and night through the day and night through the day and night through the day and night through the day and night do not crash do not crash you are moving too fast now more cash more cash might throw it on her ass now butterfly on the whip that is a nigga doors all my hoes super thick and do not keep no legs closed i got stripes like adidas do uh my whip the color of beetlejuice uh peter pan gucci fan look at you uh nigga you hating you bitching you ayy niggas be whining like bitches and uh nigga quite frankly do not get that shit ayy these niggas bored they irrelevant ayy niggas be watching these niggas be it is a vibe yeah feeling right yeah keep it quiet thought a nigga told you you so much ice yeah fantasize yeah the city lights got a nigga so yeah day and night through the day and night through the day and night got a nigga so yeah day and night through the day and night through the day and night through the day and night through the day and night
19, hehe yeah you know i am posted in the booth with the boof with ronny j gotta get in the mood hehe you know how i am rocking for real now gang gang gang hehe yeah yeah ronny j produced it and boy i am sipping tea in yo hood what the fuck is up you buttercup purrp in that blunt smoking suicide bloody blunts pussy boy you talking shit for twitter it ai not adding up ayy ayy okay okay how these pussy niggas moving day to day i have had enough yeah post with that fucking blade bitch i will skin your face huh dick on that fucking gun i love it when they run ayy ayy ayy fuck all that talking shit do that shit for fun uh fuck round with these niggas ayy stab a body fuck do you mean brr post with that glock aim that beam ayy yeah yeah yeah okay put that shit right in yo spleen ayy run through yo hood ayy fuck nigga what is really good bitch my niggas wish that you would ayy ayy bitch i am sipping tea in yo hood what the fuck is up ayy yeah yeah yeah yeah yeah bitch i am sipping tea in yo hood what the fuck is up bitch i am sipping tea in yo hood what the fuck is up bitch i am sipping tea in yo ayy ayy bitch i am sipping tea in yo hood what the fuck is up bitch bitch bitch bitch bitch yeah bitch i am sipping tea in yo hood what the fuck is up bitch i am sipping tea in yo hood what the fuck is up yeah ayy aww
20, hey there you looking for a brighter season yeah need to lay your burden down haha hey there you drowning in a helpless feeling dutty young blood sucka buried under deeper ground uh yeah okay uh uh yeah i seem depressed always being bothered never less keeping me out of prison and putting me to the test they ask me what is happiness you write it on a check or you feel it on the sweat when your dick is in the breast huh uoy ereht yeh uh give me a sec look nwo ruoy no eruoy dna tuo og sthgil eht nehw uoy ereht yeh okay okay nwo ruoy no eruoy dna tuo og sthgil eht nehw if death is what it seems why is it so vividly portrayed within my dreams the fear of understanding the devils running his horse hatreds not received it is coming straight from the source remorse as this time becomes a factor minds full of greed exposing your benefactors backwards pace backwards everyone is superficial only breaching the surface surface upon the earth and flames engulf the earth and prized possessions they incinerate this is far beyond any director tried to demonstrate see the record heres the record take the record set it straight perplexed only receive slumber when at heavengs gates and this is fairly simple for your breath try and contemplate your conversates hesitate and navigate your inner traits back to a time where minds were just matter if you stated opinions then bones would begin to shatter it did not matter back then cause there was no reacting acting up chevy in black acura accurate facts put the black in fact if you thought that you are free you should disregard that all facts nwo ruoy no eruoy dna tuo og sthgil eht nehw uoy ereht yeh young xster call me a young dexter nwo ruoy no eruoy dna tuo og sthgil eht nehw uoy ereht yeh my hypothesis isis death ai not shit uoy ereht yeh i would rather die than be alive in this life nwo ruoy no eruoy dna tuo og sthgil eht nehw honestly full of trife and strife nwo ruoy no eruoy dna tuo og sthgil eht nehw uoy ereht yeh jah hey there you try to stand up on your own two feet and stumbling— hey there you try to stand up on your own two feet and stumbling— hey there you try to stand up on your own two feet and stumbling— through the sky throughthrough the sky nwo ruoy no eruoy dna tuo og sthgil eht nehw uoy ereht yeh nwo ruoy no eruoy dna tuo og sthgil eht nehw uoy ereht yeh nwo ruoy no eruoy dna tuo og sthgil eht nehw uoy ereht yeh nwo ruoy no eruoy dna tuo og sthgil eht nehw uoy ereht yeh hey there you try to stand up on your own two feet and stumbling— hey there you try to stand up on your own two feet and stumbling— hey there you try to stand up on your own two feet and stumbling— through the sky throughthrough the sky
21, llew os uoy wonk i —ytterp neeb evi nac eh naht retteb od nac i naem i lrig uoy wonk i llew os uoy wonk i llew llew llew oh oh do not take my heart bmun os mi emas eht leef tnod i dna no dloh ot tsuj niap nileef eb lli niap nileef eb lli oh oh do not break my heart bmun os mi emas eht leef tnod i dna yeah no dloh ot tsuj niap nileef eb lli niap nileef eb lli listen close what is this is it heartbreak is it truly what it feels like what it sound like what is truly at the essence sharp teeth in the chest cancer all in the breast of the beaten and bruised feeling like a pawn to the greed of these fools but i never been a piece of the evil in the womb of these fake fuck niggas with they masks up presume i will be telling if i got a load i swear i resume on my conquest for the key to the chest where my mind slept and the love in my heart is a cancer and i spread it through the wall as an answer to the cries of the dead and the vanquished the depressed and the lost and the damned it is preservation of the peace an ideal world never lonely when you flowing through my mind girl i apologize cause i could not see the pain in your damn eyes cause a nigga made you leave with your heart in between different pains could not see ya when ya ai not cry i guess i am at a loss for words to feel so close to someone and for them to be gone the next day i guess you never realize how permanently damaging that is
22, yah yah yah yah yah haha members only volume 2 ayy pick up the pace tell em why i ai not find no haze indeed i am ready my outfit in vain yeah yeah the needle in my veins i am falling asleep okay king of the dead i sever your head okay when shit touch the river my reign will be fed i touch the sky and bring life to the dead i watch my demons become super saiyan okay oh i am not an orphan yeah death is my importance yeah okay rush without a soul many will fall feeling my bones i say again oh i am not an orphan okay death is my importance rush without a soul many will fall feeling my bones i say again yeah found this sound in sweden a while ago it is like the more i explore this song the more i explore different sounds period it is like the more i fall in love with making music it is nice actually i am out my mind see fear in your eyes i am sick i despise myself again the tears never come my body is numb i feel like a god amongst the men cut out my eyes feed me with lies that i do not never have to see again i feed the hate i feed the truth i give the pain to the youth fuck the devil for your wealth pistol chilling on my shelf i control my own death and i do not need no fucking help fuck the devil for your wealth pistol chilling on my shelf i control my own death and i do not need no fucking help found this sound in sweden the more i explore the more i fall in love with the music i make members only volume 2 vrother 
23, and hell is just a government creation and all the information they solicit is not nearly close to truth it was clear since the alteration of the books our children study when they said columbus discovered america oh the ultimatum of telling you the truth but oh well i am already in hell i am tired of having patience so i ama sell my soul and say some shit that fucking bothers you jesus was not white nor black i cannot knock it was somewhat a arab and one hell of a prophet do not understand why j cole talking about false prophets but did not mention higherups change your name to amber cole these fucking entertainers is playing it by the rules sucking government dick for safety to stay cool i am absolutely disgusted by all of you motherfuckers tie your throat to a truck better pedal the metal quickly
24, and every single year i am drowning in my tears i am drowning in my tears again i cannot seem to forget the pain you seem to give the pain you seem to give my friend and every single year i am drowning in my tears i am drowning in my tears again i cannot seem to forget the pain you seem to give the pain you seem to give my friend woah oh woah oh woah oh woah oh woah oh woah oh woah oh woah oh woah oh woah oh and every single year i am drowning in my tears i am drowning in my tears again i cannot seem to forget the pain you seem to give the pain you seem to give my friend woah oh and every single year i am drowning in my tears i am drowning in my tears again woah oh i cannot seem to forget the pain you seem to give the pain you seem to give my friend woah oh woah oh woah oh  and every single year i am drowning in my tears i am drowning in my tears again i cannot seem to forget the pain you seem to give the pain you seem to give my friend woah oh
25, dead inside spend a lot of time stuck in this head of mine under the assumption love is dead already just let me be here where was i when he was feeling on you with his hands at night seen the vivid pictures in my head at night it left me in tears where was i when he was feeling on you with his hands seen the vivid pictures in my head i am under the assumption love is dead where was i when he was feeling on you with his hands i am under the assumption love is dead seen the vivid pictures in my head
26, oohoohooh got you grinding all on that riding on that thang make a young nigga eyesrollin my brain whatwe gong dooohooh i can barelykeep control catch the vibe with me get the feel with me vibe with me oohoohooh got you grinding all on that riding on that thang make a young nigga eyes roll in my brain what we gong dooohooh i can barely keep control catch the vibe with me get the feel with me vibe with me i said hey put your pride right to the side yeah i can waste your time or i can change your life i said now ohohoh shawty where you going i just need one moment so baby keep your focus i said stay stay babe stay stay with me stay stay babe please do not run away please do not stray away oohoohooh got you grinding all on that riding on that thang make a young nigga eyes roll in my brain what we gong dooohooh i can barely keep control catch the vibe with me get the feel with me vibe with me oh yeah oohoohooh yeah i can barely keep control control when you are grinding all on me biting all on me girl you take my soul yeah yeah oohoohooh you look like the girl of my dreams dreams my heart is on lock and the key key it is right in your pocket you see all sex no stress stress i ai not tryna hold you back back ice on who bought you that ice do not want you to go out sad sad girl you know i am falling for you yeah and girl you know i am all in for you yeah and i am in love with youoohooh everything you dooohooh oohoohooh got you grinding all on that riding on that thang make a young nigga eyes roll in my brain what we gong dooohooh i can barely keep control catch the vibe with me get the feel with me vibe with me
27, i remember i had walked home that day content with all my misery told myself it would get better no clue what there was next for me remember there was people walking talking in the distance i was dressed for winter weather but the summer rays were kissing me i— i was lost so i took a different path in the distance he awaited me had no weapon i am guessing his hands were just enough for me was no question i am guessing he laughed just at the sight of me i was lost i remember i had walked home that day content with all my misery told myself it would get better no clue what there was next for me remember there was people walking talking in the distance i was dressed for winter weather but the summer rays were kissing me i— i was lost and there he was his presence was alarming as he approached was casual we talked about selfharming he told me kid you should not be walking on your own he smiled and laughed and pat my back he asked how far are you from home i said maybe 30 minutes his frequency distorted quick i seen it in his image i should have run right fucking there a—  you ever woke up on a train track with no motherfucking clothes on death before your eyes you praying to god but ai not no response tryna scream for hope just a shoulder that you can lean on but ai not nobody coming so you scream on and scream on and scream on while this evil fuck laugh at you train getting closer you still surprised that he battered you tears falling harder and harder minutes get minuscule could have had a son or a daughter now what you finna do you finna die here on this train track cause clearly after death ai not no way you can find your way back thinking about your previous memories going way back all them fucking dreams about a diamond chain and a maybach now your time finally up ask yourself this final question is you going down or up recollecting all the moments that you never gave a fuck now it is here death has now arrived times finally up
28, i cannot seem to find someones shoulder who will i rely on when it is over took a chance with you it made me colder better on my own when it is all over so when i am weak who do i call my god it hurts i cannot be calm what do i do where do i run i am tired of hate i am tired of love i dug my nails into my arms she turned and laughed at all my scars what is my worth what is my worth gave my love a piece of me she put my heart beneath her feet she turned and left i question what is my worth gave my love a piece of me she put my heart beneath her feet she turned and left i question what is my worth my worth my worth
